station,base_date,forecast_date,step_ahead_days,_SM10,_SM20,_SM30,_SM45,_SM60,_SM75
csongrad,2025-07-28 02:00:00,2025-08-02 02:00:00,5,1.949780821800232,4.04387903213501,2.747321367263794,1.6773850917816162,3.849353790283203,1.7121384143829346
csongrad,2025-07-28 02:00:00,2025-08-03 02:00:00,6,1.949780821800232,4.04387903213501,2.747321367263794,1.6773850917816162,3.849353790283203,1.7121384143829346
csongrad,2025-07-28 02:00:00,2025-08-04 02:00:00,7,1.949780821800232,4.04387903213501,2.747321367263794,1.6773850917816162,3.849353790283203,1.7121384143829346
hernad,2025-09-01 02:00:00,2025-09-02 02:00:00,1,1.5814259052276611,4.450080871582031,2.623302936553955,1.3645819425582886,3.728191375732422,2.0446908473968506
hernad,2025-09-01 02:00:00,2025-09-03 02:00:00,2,1.5814259052276611,4.450080871582031,2.623302936553955,1.3645819425582886,3.728191375732422,2.0446908473968506
hernad,2025-09-01 02:00:00,2025-09-04 02:00:00,3,1.5814259052276611,4.450080871582031,2.623302936553955,1.3645819425582886,3.728191375732422,2.0446908473968506
hernad,2025-09-01 02:00:00,2025-09-05 02:00:00,4,1.5814259052276611,4.450080871582031,2.623302936553955,1.3645819425582886,3.728191375732422,2.0446908473968506
hernad,2025-09-01 02:00:00,2025-09-06 02:00:00,5,1.5814259052276611,4.450080871582031,2.623302936553955,1.3645819425582886,3.728191375732422,2.0446908473968506
hernad,2025-09-01 02:00:00,2025-09-07 02:00:00,6,1.5814259052276611,4.450080871582031,2.623302936553955,1.3645819425582886,3.728191375732422,2.0446908473968506
hernad,2025-09-01 02:00:00,2025-09-08 02:00:00,7,1.5814259052276611,4.450080871582031,2.623302936553955,1.3645819425582886,3.728191375732422,2.0446908473968506
izsak,2025-07-16 02:00:00,2025-07-17 02:00:00,1,1.4250588417053223,2.760176181793213,1.886339783668518,1.523034691810608,2.1842901706695557,1.274733304977417
izsak,2025-07-16 02:00:00,2025-07-18 02:00:00,2,1.4250588417053223,2.760176181793213,1.886339783668518,1.523034691810608,2.1842901706695557,1.274733304977417
izsak,2025-07-16 02:00:00,2025-07-19 02:00:00,3,1.4250588417053223,2.760176181793213,1.886339783668518,1.523034691810608,2.1842901706695557,1.274733304977417
izsak,2025-07-16 02:00:00,2025-07-20 02:00:00,4,1.4250588417053223,2.760176181793213,1.886339783668518,1.523034691810608,2.1842901706695557,1.274733304977417
izsak,2025-07-16 02:00:00,2025-07-21 02:00:00,5,1.4250588417053223,2.760176181793213,1.886339783668518,1.523034691810608,2.1842901706695557,1.274733304977417
izsak,2025-07-16 02:00:00,2025-07-22 02:00:00,6,1.4250588417053223,2.760176181793213,1.886339783668518,1.523034691810608,2.1842901706695557,1.274733304977417
izsak,2025-07-16 02:00:00,2025-07-23 02:00:00,7,1.4250588417053223,2.760176181793213,1.886339783668518,1.523034691810608,2.1842901706695557,1.274733304977417
jakabszallas,2025-09-01 02:00:00,2025-09-02 02:00:00,1,1.5631346702575684,4.3611931800842285,2.715501546859741,1.4609249830245972,3.8339290618896484,1.8133225440979004
jakabszallas,2025-09-01 02:00:00,2025-09-03 02:00:00,2,1.5631346702575684,4.3611931800842285,2.715501546859741,1.4609249830245972,3.8339290618896484,1.8133225440979004
jakabszallas,2025-09-01 02:00:00,2025-09-04 02:00:00,3,1.5631346702575684,4.3611931800842285,2.715501546859741,1.4609249830245972,3.8339290618896484,1.8133225440979004
jakabszallas,2025-09-01 02:00:00,2025-09-05 02:00:00,4,1.5631346702575684,4.3611931800842285,2.715501546859741,1.4609249830245972,3.8339290618896484,1.8133225440979004
jakabszallas,2025-09-01 02:00:00,2025-09-06 02:00:00,5,1.5631346702575684,4.3611931800842285,2.715501546859741,1.4609249830245972,3.8339290618896484,1.8133225440979004
jakabszallas,2025-09-01 02:00:00,2025-09-07 02:00:00,6,1.5631346702575684,4.3611931800842285,2.715501546859741,1.4609249830245972,3.8339290618896484,1.8133225440979004
jakabszallas,2025-09-01 02:00:00,2025-09-08 02:00:00,7,1.5631346702575684,4.3611931800842285,2.715501546859741,1.4609249830245972,3.8339290618896484,1.8133225440979004
kecel,2025-09-01 02:00:00,2025-09-02 02:00:00,1,2.3010995388031006,3.3564231395721436,2.634977340698242,1.3668543100357056,3.4656200408935547,1.7964597940444946
kecel,2025-09-01 02:00:00,2025-09-03 02:00:00,2,2.3010995388031006,3.3564231395721436,2.634977340698242,1.3668543100357056,3.4656200408935547,1.7964597940444946
kecel,2025-09-01 02:00:00,2025-09-04 02:00:00,3,2.3010995388031006,3.3564231395721436,2.634977340698242,1.3668543100357056,3.4656200408935547,1.7964597940444946
kecel,2025-09-01 02:00:00,2025-09-05 02:00:00,4,2.3010995388031006,3.3564231395721436,2.634977340698242,1.3668543100357056,3.4656200408935547,1.7964597940444946
kecel,2025-09-01 02:00:00,2025-09-06 02:00:00,5,2.3010995388031006,3.3564231395721436,2.634977340698242,1.3668543100357056,3.4656200408935547,1.7964597940444946
kecel,2025-09-01 02:00:00,2025-09-07 02:00:00,6,2.3010995388031006,3.3564231395721436,2.634977340698242,1.3668543100357056,3.4656200408935547,1.7964597940444946
kecel,2025-09-01 02:00:00,2025-09-08 02:00:00,7,2.3010995388031006,3.3564231395721436,2.634977340698242,1.3668543100357056,3.4656200408935547,1.7964597940444946
nagykoros,2025-09-01 02:00:00,2025-09-02 02:00:00,1,2.180443286895752,3.58988356590271,2.552523612976074,1.3728574514389038,3.337655544281006,0.8497896790504456
nagykoros,2025-09-01 02:00:00,2025-09-03 02:00:00,2,2.180443286895752,3.58988356590271,2.552523612976074,1.3728574514389038,3.337655544281006,0.8497896790504456
nagykoros,2025-09-01 02:00:00,2025-09-04 02:00:00,3,2.180443286895752,3.58988356590271,2.552523612976074,1.3728574514389038,3.337655544281006,0.8497896790504456
nagykoros,2025-09-01 02:00:00,2025-09-05 02:00:00,4,2.180443286895752,3.58988356590271,2.552523612976074,1.3728574514389038,3.337655544281006,0.8497896790504456
