station,target_date
csengele,2021-05-07 02:00:00
csengele,2021-05-08 02:00:00
csengele,2021-05-09 02:00:00
csengele,2021-05-10 02:00:00
csengele,2021-05-11 02:00:00
csengele,2021-05-12 02:00:00
csengele,2021-06-01 02:00:00
csengele,2021-06-02 02:00:00
csengele,2021-06-03 02:00:00
csengele,2021-06-04 02:00:00
csengele,2021-06-05 02:00:00
csengele,2021-06-06 02:00:00
csengele,2021-06-07 02:00:00
csengele,2021-06-08 02:00:00
csengele,2021-06-09 02:00:00
csengele,2021-06-10 02:00:00
csengele,2021-06-11 02:00:00
csengele,2021-06-12 02:00:00
csengele,2021-07-01 02:00:00
csengele,2021-07-02 02:00:00
csengele,2021-07-03 02:00:00
csengele,2021-07-04 02:00:00
csengele,2021-07-05 02:00:00
csengele,2021-07-06 02:00:00
csengele,2021-07-07 02:00:00
csengele,2021-07-08 02:00:00
csengele,2021-07-09 02:00:00
csengele,2021-07-10 02:00:00
csengele,2021-07-11 02:00:00
csengele,2021-07-12 02:00:00
csengele,2021-08-01 02:00:00
csengele,2021-08-02 02:00:00
csengele,2021-08-03 02:00:00
csengele,2021-08-04 02:00:00
csengele,2021-08-05 02:00:00
csengele,2021-08-06 02:00:00
csengele,2021-08-07 02:00:00
csengele,2021-08-08 02:00:00
csengele,2021-08-09 02:00:00
csengele,2021-08-10 02:00:00
csengele,2021-08-11 02:00:00
csengele,2021-08-12 02:00:00
csengele,2021-09-01 02:00:00
csengele,2021-09-02 02:00:00
csengele,2021-09-03 02:00:00
csengele,2021-09-04 02:00:00
csengele,2021-09-05 02:00:00
csengele,2021-09-06 02:00:00
csengele,2021-09-07 02:00:00
csengele,2021-09-08 02:00:00
csengele,2021-09-09 02:00:00
csengele,2021-09-10 02:00:00
csengele,2021-09-11 02:00:00
csengele,2021-09-12 02:00:00
csengele,2021-10-01 02:00:00
csengele,2021-10-02 02:00:00
csengele,2021-10-03 02:00:00
csengele,2021-10-04 02:00:00
csengele,2021-10-05 02:00:00
csengele,2021-10-06 02:00:00
csengele,2021-10-07 02:00:00
csengele,2021-10-08 02:00:00
csengele,2021-10-09 02:00:00
csengele,2021-10-10 02:00:00
csengele,2021-10-11 02:00:00
csengele,2021-10-12 02:00:00
csengele,2021-11-01 01:00:00
csengele,2021-11-02 01:00:00
csengele,2021-11-03 01:00:00
csengele,2021-11-04 01:00:00
csengele,2021-11-05 01:00:00
csengele,2021-11-06 01:00:00
csengele,2021-11-07 01:00:00
csengele,2021-11-08 01:00:00
csengele,2021-11-09 01:00:00
csengele,2021-11-10 01:00:00
csengele,2021-11-11 01:00:00
csengele,2021-11-12 01:00:00
csengele,2021-12-01 01:00:00
csengele,2021-12-02 01:00:00
csengele,2021-12-03 01:00:00
csengele,2021-12-04 01:00:00
csengele,2021-12-05 01:00:00
csengele,2021-12-06 01:00:00
csengele,2021-12-07 01:00:00
csengele,2021-12-08 01:00:00
csengele,2021-12-09 01:00:00
csengele,2021-12-10 01:00:00
csengele,2021-12-11 01:00:00
csengele,2021-12-12 01:00:00
csengele,2022-01-01 01:00:00
csengele,2022-01-02 01:00:00
csengele,2022-01-03 01:00:00
csengele,2022-01-04 01:00:00
csengele,2022-01-05 01:00:00
csengele,2022-01-06 01:00:00
csengele,2022-01-07 01:00:00
csengele,2022-01-08 01:00:00
csengele,2022-01-09 01:00:00
csengele,2022-01-10 01:00:00
csengele,2022-01-11 01:00:00
csengele,2022-01-12 01:00:00
csengele,2022-02-01 01:00:00
csengele,2022-02-02 01:00:00
csengele,2022-02-03 01:00:00
csengele,2022-02-04 01:00:00
csengele,2022-02-05 01:00:00
csengele,2022-02-06 01:00:00
csengele,2022-02-07 01:00:00
csengele,2022-02-08 01:00:00
csengele,2022-02-09 01:00:00
csengele,2022-02-10 01:00:00
csengele,2022-02-11 01:00:00
csengele,2022-02-12 01:00:00
csengele,2022-03-01 01:00:00
csengele,2022-03-02 01:00:00
csengele,2022-03-03 01:00:00
csengele,2022-03-04 01:00:00
csengele,2022-03-05 01:00:00
csengele,2022-03-06 01:00:00
csengele,2022-03-07 01:00:00
csengele,2022-03-08 01:00:00
csengele,2022-03-09 01:00:00
csengele,2022-03-10 01:00:00
csengele,2022-03-11 01:00:00
csengele,2022-03-12 01:00:00
csengele,2022-04-01 02:00:00
csengele,2022-04-02 02:00:00
csengele,2022-04-03 02:00:00
csengele,2022-04-04 02:00:00
csengele,2022-04-05 02:00:00
csengele,2022-04-06 02:00:00
csengele,2022-04-07 02:00:00
csengele,2022-04-08 02:00:00
csengele,2022-04-09 02:00:00
